gene	p
GSDMB	5.48828651895295e-06
ORMDL3	9.7100453796406e-06
LOC728129	2.06866184175869e-05
ZPBP2	2.23753219619205e-05
GSDMA	2.65970808226434e-05
PNMT	3.08188396833664e-05
IKZF3	4.55949956958968e-05
TCAP	6.79703176578172e-05
STARD3	9.07678155057656e-05
PSMD3	9.62561020246833e-05
MICA	9.96335091133504e-05
CSF3	0.000123697534619494
LOC729081	0.000130030172910578
HLA-X	0.000135518459429496
PERLD1	0.000155360726075027
ERBB2	0.000160849012593944
DHFRP2	0.000164226419682501
LOC100131540	0.000190823500505144
S1PR3	0.000218264933099843
HCG26	0.000241906782719958
MED24	0.000252883355757905
C6ORF15	0.000270192567086935
HLA-DQA1	0.000303544462086691
C8ORF83	0.000305655341517053
LOC100124394	0.000310299276263915
RPL29P29	0.000314098859238499
LOC649704	0.000317054090441027
ZNF329	0.000401489267655708
LOC100133016	0.000456794308731356
KIAA1024	0.000480013982465333
TCF19	0.000498589721452558
LOC100289233	0.000547139948350983
LOC729792	0.000574581380945793
C10ORF32	0.000631152949679636
HIST1H1A	0.000633686004996026
UFSP1	0.00063495253265422
LOC100130251	0.000645506929806028
LOC100131289	0.000650995216325057
AS3MT	0.000664082668793253
HCG22	0.000666193548223726
HIST1H4PS1	0.000668726603540115
HIST1H4A	0.000671259658856505
FAM136A	0.00067252618651481
C6ORF136	0.000678858824805895
CYP17A1	0.000724875996387819
GTF2H4	0.000756117011957325
MICB	0.000764138353792632
ZNF389	0.00076962664031166
BCL2L10	0.000775537102716606
TRIM27	0.00077975886157744
ZSCAN12L1	0.000815221636007557
IL18R1	0.000819865570754308
CCRL1	0.000847729179235146
DDR1	0.000884880657209597
BAT1	0.000948207040120663
NT5C2	0.000950317919551025
NCRNA00111	0.000959183613158499
OLFML3	0.000962561020247166
PTTG4P	0.000994224211702588
NFKBIL1	0.00104108573505679
FLOT1	0.00104572966980354
PPP1R1B	0.00107190457474016
DPCR1	0.00107485980594269
TRNAI-AAU	0.00109048031372738
OR2I1P	0.00115718410372689
SAR1P1	0.00118420336043557
ZNF192	0.00119306905404315
TRIP6	0.00119771298879001
LOC100289544	0.00120362345119496
CLIC1	0.00122768747670121
C8ORF56	0.00124921844689085
HIST1H1B	0.00137671556448504
OR2U1P	0.00138684778575082
GEM	0.00139655783113046
PRSS16	0.00141175616302913
IL13	0.00143750889207961
OR12D3	0.00143793106796564
ITPR3	0.00143835324385178
GPX4	0.00146115074169972
HNRNPA1P1	0.00146748337999081
OR2U2P	0.00147339384239586
RPL39P2	0.00147592689771225
KCNE2	0.00147634907359839
IL1RL1	0.0014869034707502
PCYOX1	0.00149576916435767
AGPAT1	0.00152658800404104
SFTA2	0.00153545369764863
GHRH	0.0015443193912561
LOC100133102	0.0015624729543573
MRPS31	0.00159455832169886
SHC3	0.00163466503087584
TREML3	0.00163846461385053
FNDC5	0.0016692834535339
C6ORF27	0.00168743701663499
LOC100188891	0.00170221317264752
LOC100216346	0.00170305752441968
LOC100287272	0.00173176548467269
ARL3	0.0017435864094828
CNNM2	0.00176005126903955
LOC100287146	0.00178411529454581
TAP1	0.00180860149593809
HCG2P7	0.00181071237536845
RPS20P34	0.00182548853138098
CD3G	0.00183266552144423
RPSAP2	0.0018765718135958
PPT2	0.00188121574834266
TOP2A	0.00189261449726663
PKP2P1	0.00189261449726663
RPL17P41	0.00189388102492483
TRIM56	0.00191372329157025
BTN3A3	0.00192638856815253
LOC100289652	0.00193440990998783
RCAN1	0.00195847393549409
PSORS1C1	0.0019795827297977
LOC100133317	0.00198380448865842
RPL7AP53	0.00199984717232926
SLC44A4	0.00200280240353179
SRRT	0.00202222249429118
KIAA1949	0.00203446559498721
PA2G4P4	0.00205135263043021
LOC90110	0.00207626100770852
LOC100288674	0.00211172378213864
HCP5P3	0.00211678989277153
RTN4	0.00211721206865767
FLJ10489	0.00217462798916357
C6ORF48	0.0022062911806191
SFXN2	0.00226075186992258
ZSCAN23	0.00226666233232753
CSNK2B	0.00231141297625137
LOC442172	0.00235405274074474
POU2F3	0.00237600588682052
SLC12A9	0.00245790800871881
VARS	0.0024617075916934
LOC645960	0.00248788249663001
SLC2A3P4	0.00249379295903496
MED1	0.00249759254200965
TAC3	0.00249759254200965
TRIM38	0.0025073025873894
LOC100288909	0.00251785698454121
PSORS1C2	0.00254023230650302
CRKRS	0.00254107665827519
PSMB8	0.00255205323131313
FOXO1	0.00255374193485747
ITGAL	0.00257907248802181
C10ORF26	0.00259004906105975
RDH16	0.00266941812764154
LOC100289545	0.0026702624794136
UBD	0.00268377210776805
FRAT1	0.00273190015878033
DHX57	0.0027508980736537
DRD3	0.00286066380403271
TUBB	0.00286657426643777
PCOTH	0.00290963620681717
RP11-45B20.2	0.00290963620681717
LOC100130499	0.00295607555428523
LOC100129636	0.00298182828333571
TIA1	0.00305233165631003
LOC100286943	0.003092438365487
UBE4A	0.0031198797980817
C12ORF43	0.00314521035124615
RPS27A	0.00325708696105553
C6ORF134	0.00331070329858685
PANK2	0.00333307862054877
IGLV3-4	0.00340527069706731
HIPK1	0.00340569287295334
PLA2G4C	0.00340907028004189
SYMPK	0.00341709162187731
GALNT6	0.00344664393390248
PLEKHA5	0.00357878498624342
GRIP2	0.00368095155067316
PGBD1	0.00369235029959714
RPL36AP18	0.00370332687263497
ARC	0.00378396246687507
NBLA00301	0.00378607334630543
GNL1	0.00382997963845699
LOC100288742	0.00383335704554555
MTIF2	0.00383546792497602
CDA	0.00390850435326662
C4ORF16	0.00391019305681095
PSORS1C3	0.00392328050927926
LOC646614	0.00397816337446877
LOC100288217	0.00410650484383501
ACAD11	0.00411579271332863
COX11P	0.00415083331187271
PSMB1	0.00416265423668283
SNX14	0.0042171149259862
CEP97	0.00424751158978354
TREML4	0.00429775052022618
CDSN	0.00431843713864388
MICE	0.00432265889750461
NT5E	0.00433870158117533
NUPL1	0.00440836060237748
LOC100289039	0.00445522212573157
HLA-N	0.00450503888028819
HCG27	0.00451559327744011
PCNP	0.00459074058516107
TRAPPC2P1	0.00461564896243938
LOC389768	0.00461944854541407
FLJ90757	0.00462578118370516
KLF6	0.00463506905319877
LOC399900	0.00463760210851527
IREB2	0.00466208830990744
LTA	0.0047135937680084
MSH5	0.00471781552686912
HLA-C	0.00472879209990706
HFE	0.00491708254509582
ZBTB11	0.00497323193794352
RPL18AP9	0.00503909137617098
ANGPTL5	0.00504837924566459
RAB3A	0.00516785502142336
TRIM10	0.00516827719730939
LOC100131542	0.00521471654477745
ABCF1	0.00531814963686539
RNASET2	0.0053312370893337
ACTRT2	0.00533883625528297
STAT6	0.00534770194889056
HIST1H2AL	0.00535065718009309
PLEKHG5	0.00538105384389032
SUMO4	0.00543931411616849
SDPR	0.00549757438844656
OR9R1P	0.00552586017281342
CTSL1	0.00558116521388907
KIAA0664	0.0055879200280663
SLC22A18	0.00559383049047124
LOC390332	0.00566137863224303
TMEM194A	0.00568290960243278
C1ORF107	0.00572048325629326
LOC134505	0.00572301631160976
RNF39	0.00575003556831843
LOC100287365	0.00577198871439422
TRIMP1	0.00577874352857144
S100PBP	0.0058851318518619
LOC100289072	0.00596450091844369
LOC100289564	0.00598223230565875
TUBAL3	0.00600460762762056
LOC646616	0.00602444989426609
POU5F1	0.00604513651268368
LOC100128092	0.00611268465445536
C4ORF17	0.00615659094660703
PGM5	0.00616841187141703
SPG20	0.00616883404730317
TMSL2	0.00618783196217643
KRT8P26	0.00624946964154316
ZNF323	0.00625369140040388
NOTCH4	0.006289154174834
CMTM3	0.00631026296913773
UBA5	0.00634277051236531
UNQ9370	0.00636683453787146
ZSCAN12	0.00639005421160554
HIST1H2BL	0.00641876217185855
ZKSCAN3	0.00643016092078252
CCHCR1	0.00645971323280758
LOC100287172	0.00647195633350373
ARF1	0.00658636599862961
SLC12A1	0.00659734257166755
LOC100289568	0.00661465178299658
MYO1A	0.00662985011489514
PPM2C	0.00666109113046465
TNXB	0.00667502293470501
FIBIN	0.00672104010628705
TCF4	0.00679027695160306
TTLL1	0.00681223009767884
DNA2	0.0069523924918552
IQGAP2	0.00696252471312098
ACTR1A	0.00698616656274098
ZNRD1	0.00707313479527216
LOC100289594	0.0071753013597019
ELN	0.00729688801489103
MRPL51	0.00730195412552381
AMIGO2	0.00731293069856176
LOC100132010	0.00731546375387826
FAM46C	0.00734923782476404
ABT1	0.00737119097083994
MAEL	0.0073733018502703
CACNA1H	0.00744042781615595
TRIM34	0.00754808266710461
ZNF660	0.0075531487777375
HECW1	0.00757890150678797
NFKBIZ	0.00762322997482567
LOC100131102	0.0076992216343188
LOC100134257	0.0076992216343188
C2ORF63	0.00770682080026819
FBXL20	0.00783558444552057
FOXO6	0.00788582337596322
LOC646640	0.00796434809077284
LOC100288330	0.00797743554324115
C22ORF39	0.00798123512621585
MPV17L2	0.00801289831767127
ZNF628	0.00803949539849391
TRIM31	0.00810028872608848
LOC100129417	0.00811295400267065
RPS27AP8	0.00812097534450607
HLA-DQB2	0.00824045112026484
PGM1	0.00827802477412531
BACE1	0.00830588838260615
HLA-V	0.00836457083077036
HLA-G	0.00839370096690939
NUFIP1P	0.00840003360520059
HCP5P2	0.0084511168874154
LOC100129514	0.00845196123918757
PRUNE	0.00847475873703551
LOC646626	0.0084810913753266
RPL36AP19	0.00848446878241516
WFDC2	0.0084992449384278
SCG2	0.00856088261779442
BAT2	0.00860310020640176
LEKR1	0.00860985502057898
GFRA3	0.00862674205602187
INSIG2	0.0086609383027938
LOC284297	0.00872426468570486
BCL10	0.00876606009842607
LOC100287098	0.00878801324450185
ATP4B	0.00879012412393232
MKX	0.00882009861184352
BAALC	0.00886738231108364
PGAM1	0.00886780448696978
ADO	0.00923678621139778
LHB	0.00926929375462548
HCP5P12	0.00927435986525837
FBL	0.00928364773475199
FLJ42953	0.00935541763538439
RNF214	0.0094271875360169
ZBTB39	0.00948080387354822
ZSCAN16	0.0095627059954464
TBP	0.00975648472715407
ATP6V1G2	0.00976492824487551
OR2B4P	0.00980630148171069
OR2H4P	0.00982023328595116
CLCA3P	0.0098611843469002
MDC1	0.00986751698519128
VNN1	0.00990973457379862
LOC100129200	0.00991437850854548
NKTR	0.00994266429291235
GCH1	0.0100241442389245
KIAA1377	0.0100410312743675
HIST1H2AA	0.0100427199779117
TLX1	0.0100891593253798
LOC645705	0.0101710614472781
OR2W2P	0.0101866819550628
ATP5G2	0.010245364403227
LOC100131750	0.0102605627351255
LOC285830	0.0102913815748089
COL9A1	0.0102939146301254
KCNE4	0.0103361322187328
BTN2A1	0.0103475309676567
MIPOL1	0.0104053690640488
CRYGC	0.0104458979491118
SERP1	0.0104847381306306
LOC391334	0.0104990921107569
LOC100133113	0.0105113352114531
HPCA	0.0105818385844274
SLC18A3	0.0106489645503131
IRF6	0.0106675402893003
LOC100287808	0.0107135574608822
LOC648809	0.0107152461644265
NPHP3	0.0107203122750594
LOC100174950	0.010763796391325
MUC17	0.0108296558295524
LOC100131717	0.0108478093926535
CKM	0.0108638520763243
DMAP1	0.0109436433187922
TIFA	0.0109567307712605
TLN1	0.0109837500279691
TRAV20	0.0109854387315135
LOC440419	0.0109921935456906
HIST1H2BA	0.0110698739087282
MIR608	0.011086338768285
SNORD54	0.0110994262207532
CKLF	0.0112176354688538
SLC17A2	0.011270829630499
GPHB5	0.0113210685609417
TBX21	0.0113763736020174
LOC100132379	0.0113962158686628
SH3GLB1	0.0114321008189791
PCGF5	0.0114865615082824
DMWD	0.0115013376642951
KIAA1522	0.011506825950814
LOC100287899	0.0115663527507504
PCP2	0.0117360674569518
LY6H	0.0117787072214451
TERF2	0.0118061486540399
ZBTB44	0.0118281018001157
IGFBP2	0.0118314792072044
LOC100288212	0.0118437223079004
PDCD2	0.011875385499356
NOL12	0.011910003922014
RNASEL	0.0119138035049886
ILDR2	0.0119712194254946
MYO5B	0.0120573433062535
TRIM6-TRIM34	0.0120725416381522
KCNH4	0.0120776077487851
MCEE	0.0121063157090381
LOC285556	0.0122469002791005
LOC100287199	0.0122566103244801
MEGF6	0.012261254259227
ELFN2	0.0122680090734042
RPS2	0.0122756082393535
OVOL1	0.0122946061542267
ECHS1	0.012307271430809
OR51I2	0.0123452672605555
PSMC3P	0.0123473781399859
PRO0611	0.0123473781399859
TULP4	0.0123832630903021
MAP3K7IP2	0.0124263250306816
C13ORF26	0.0125132932632127
ASF1A	0.0125251141880228
WBP4	0.0125605769624529
EML6	0.0126787862105535
DEFB134	0.0127062276431482
FAM82B	0.0127104494020089
DCLRE1B	0.012727758613338
HCG9	0.0127340912516291
FCER2	0.0127589996289074
RPL13AP3	0.0127978398104261
BAI3	0.012802905921059
FERMT1	0.0128202151323881
