gene	score
GSDMB	4.3969834114925
ORMDL3	4.27145593115349
LOC728129	4.09967408111804
ZPBP2	4.08147576848302
GSDMA	4.04113042595272
PNMT	4.00645186521761
IKZF3	3.91291142046449
TCAP	3.81543972810247
STARD3	3.74341555368396
PSMD3	3.72864489804017
MICA	3.71994392066777
CSF3	3.66494155776515
LOC729081	3.65214363790138
HLA-X	3.64151634006563
PERLD1	3.60619351842948
ERBB2	3.59717017619932
DHFRP2	3.59175954471059
LOC100131540	3.55246002587444
S1PR3	3.51695373244093
HCG26	3.48956158441856
MED24	3.47768351137989
C6ORF15	3.45989546168334
HLA-DQA1	3.42842738215684
C8ORF83	3.42654578970072
LOC100124394	3.42244849021734
RPL29P29	3.41913837321511
LOC649704	3.41658949286596
ZNF329	3.35176601532473
LOC100133016	3.31586833028807
KIAA1024	3.30198619057885
TCF19	3.29132131331809
LOC100289233	3.26509339289326
LOC729792	3.2512067022839
C10ORF32	3.22441439637397
HIST1H1A	3.22326735724947
UFSP1	3.22269542418966
LOC100130251	3.21796985388483
LOC100131289	3.21554067263796
AS3MT	3.20982342517345
HCG22	3.20891104032838
HIST1H4PS1	3.2078196928354
HIST1H4A	3.20673215265809
FAM136A	3.20618980162896
C6ORF136	3.20349210004845
CYP17A1	3.18455811191
GTF2H4	3.17232551200085
MICB	3.1692598957392
ZNF389	3.16717940126761
BCL2L10	3.16495409448098
TRIM27	3.16337413150044
ZSCAN12L1	3.15040490101179
IL18R1	3.14874516975657
CCRL1	3.13896476030866
DDR1	3.12637432000432
BAT1	3.10599268329762
NT5C2	3.10533506998547
NCRNA00111	3.10258766232701
OLFML3	3.10154716139698
PTTG4P	3.09195223456523
NFKBIL1	3.07825430497756
FLOT1	3.0769278260231
PPP1R1B	3.06955083947156
DPCR1	3.06872835950516
TRNAI-AAU	3.0644151060196
OR2I1P	3.04661124551485
SAR1P1	3.03966596229421
ZNF192	3.03741863789191
TRIP6	3.03624756253364
LOC100289544	3.03476309985039
CLIC1	3.02878729082198
C8ORF56	3.02353068600498
HIST1H1B	2.99400313771315
OR2U1P	2.99176514376948
GEM	2.98963436991662
PRSS16	2.98632625507982
IL13	2.98079436334737
OR12D3	2.98070443270281
ITPR3	2.98061452615828
GPX4	2.97579498749286
HNRNPA1P1	2.97446840785519
OR2U2P	2.9732349718646
RPL39P2	2.97270773811898
KCNE2	2.97261994611464
IL1RL1	2.97043255756187
PCYOX1	2.96860607170293
AGPAT1	2.96233278060003
SFTA2	2.96054952932099
GHRH	2.9587756431324
LOC100133102	2.95517218748155
MRPS31	2.9488956230843
SHC3	2.94120981320691
TREML3	2.94049062025429
FNDC5	2.93471266116192
C6ORF27	2.93135451343731
LOC100188891	2.92864533477153
LOC100216346	2.92849117208457
LOC100287272	2.92329060370789
ARL3	2.92117197097658
CNNM2	2.91824269756806
LOC100287146	2.91400599086991
TAP1	2.90974798412795
HCG2P7	2.90938337373601
RPS20P34	2.90684187093327
CD3G	2.90561416967695
RPSAP2	2.89819733493547
PPT2	2.89742211175941
TOP2A	2.89552664018558
PKP2P1	2.89552664018558
RPL17P41	2.89531667308952
TRIM56	2.89204373895267
BTN3A3	2.88997071693562
LOC100289652	2.8886641982134
RCAN1	2.88477396090719
PSORS1C1	2.8813970527482
LOC100133317	2.88072559747366
RPL7AP53	2.87818584450782
SLC44A4	2.8777200139828
SRRT	2.87467427491638
KIAA1949	2.87276775231179
PA2G4P4	2.87015508221777
LOC90110	2.86633680077093
LOC100288674	2.86097169557572
HCP5P3	2.86021193411565
RTN4	2.86014869512902
FLJ10489	2.85165292777754
C6ORF48	2.84705438272046
SFXN2	2.83928299560302
ZSCAN23	2.83844982065638
CSNK2B	2.83220459153479
LOC442172	2.82635499553523
POU2F3	2.82338063157343
SLC12A9	2.81249910586602
VARS	2.81200229630174
LOC645960	2.80859855472533
SLC2A3P4	2.80783445187584
MED1	2.80734410720056
TAC3	2.80734410720056
TRIM38	2.80609406192383
LOC100288909	2.80474027196695
PSORS1C2	2.80188712260344
CRKRS	2.8017799020494
PSMB8	2.8003889576065
FOXO1	2.80017544629202
ITGAL	2.79698799544982
C10ORF26	2.79561554499949
RDH16	2.78584518857106
LOC100289545	2.78574266667927
UBD	2.78410628532664
FRAT1	2.77833649746503
DHX57	2.77608417993911
DRD3	2.76333919458016
TUBB	2.76266551574977
PCOTH	2.75779474857338
RP11-45B20.2	2.75779474857338
LOC100130499	2.75261426232133
LOC100129636	2.74977298184723
TIA1	2.7421060258342
LOC100286943	2.73781547829742
UBE4A	2.73490861786688
C12ORF43	2.73224572063735
RPS27A	2.72071072058785
C6ORF134	2.71530846060986
PANK2	2.71307721062139
IGLV3-4	2.70596894798896
HIPK1	2.70592777907132
PLA2G4C	2.70559859272412
SYMPK	2.70481794812697
GALNT6	2.70195602539355
PLEKHA5	2.68942280339622
GRIP2	2.6800142277336
PGBD1	2.6789790866272
RPL36AP18	2.67798498984191
ARC	2.6707621583044
NBLA00301	2.67057493942219
GNL1	2.66670184992683
LOC100288742	2.66640557105722
MTIF2	2.66622051555367
CDA	2.65987314543288
C4ORF16	2.65972764650733
PSORS1C3	2.65860193468134
LOC646614	2.65391753953425
LOC100288217	2.64318520594203
ACAD11	2.6424202251866
COX11P	2.63954799990297
PSMB1	2.63858394893849
SNX14	2.63417381797993
CEP97	2.63173445146637
TREML4	2.62773673150643
CDSN	2.62610274409837
MICE	2.62577013715786
NT5E	2.62450887305541
NUPL1	2.61908021714094
LOC100289039	2.61547117265495
HLA-N	2.61167152360604
HCG27	2.61087133282254
PCNP	2.60522176399928
TRAPPC2P1	2.60336736306708
LOC389768	2.60308527383018
FLJ90757	2.60261558491173
KLF6	2.60192774472694
LOC399900	2.60174036541679
IREB2	2.59993372519587
LTA	2.59616101849357
MSH5	2.59585341331406
HLA-C	2.59505478739305
HFE	2.58160647367705
ZBTB11	2.57768494521269
RPL18AP9	2.57313520710176
ANGPTL5	2.57249784364544
RAB3A	2.5643907886699
TRIM10	2.56436243889808
LOC100131542	2.56125647445331
ABCF1	2.55442614090485
RNASET2	2.55357033311502
ACTRT2	2.55307426940732
STAT6	2.55249632133974
HIST1H2AL	2.55230386130379
PLEKHG5	2.55032973894203
SUMO4	2.54657355569306
SDPR	2.5428529617947
OR9R1P	2.54105920489668
CTSL1	2.53757544964769
KIAA0664	2.53715205642051
SLC22A18	2.53678196007238
LOC390332	2.53257676974804
TMEM194A	2.53124572719122
C1ORF107	2.52893361371513
LOC134505	2.52877822639041
RNF39	2.52712454892896
LOC100287365	2.5257860062814
TRIMP1	2.52537505590563
S100PBP	2.51895817536943
LOC100289072	2.51423765266675
LOC100289564	2.51319068418325
TUBAL3	2.51187342896551
LOC646616	2.51070893224647
POU5F1	2.50949849664355
LOC100128092	2.50557145555053
C4ORF17	2.5030394482609
PGM5	2.50236048756078
SPG20	2.50233626028819
TMSL2	2.5012475501972
KRT8P26	2.49773555981996
ZNF323	2.49749613659152
NOTCH4	2.49549061233652
CMTM3	2.49430159645148
UBA5	2.49247738052895
UNQ9370	2.49113230984811
ZSCAN12	2.48983869328469
HIST1H2BL	2.48824505143172
ZKSCAN3	2.48761403067712
CCHCR1	2.48598264844267
LOC100287172	2.48530872383704
ARF1	2.47906494134598
SLC12A1	2.47847096053579
LOC100289568	2.47753607148009
MYO1A	2.47671697492244
PPM2C	2.47503847625905
TNXB	2.47429219915644
FIBIN	2.4718369682586
TCF4	2.4681707046939
TTLL1	2.46701512649011
DNA2	2.45971380070695
IQGAP2	2.45919104609674
ACTR1A	2.45797389221168
ZNRD1	2.45352756752199
LOC100289594	2.44836542595546
ELN	2.44230587271486
MRPL51	2.44205532861485
AMIGO2	2.4415130083546
LOC100132010	2.44138795944072
FAM46C	2.43972427756952
ABT1	2.43864649457663
MAEL	2.43854301074678
CACNA1H	2.43526576458942
TRIM34	2.43006379686799
ZNF660	2.42982061211147
HECW1	2.42858663956801
NFKBIZ	2.4264712102639
LOC100131102	2.42286982786556
LOC100134257	2.42286982786556
C2ORF63	2.42251141272476
FBXL20	2.41648507010628
FOXO6	2.41415741643986
LOC646640	2.41054522910102
LOC100288330	2.40994624523528
C22ORF39	2.40977250853219
MPV17L2	2.4083275239091
ZNF628	2.40711761096651
TRIM31	2.40436525378289
LOC100129417	2.40379413216681
RPS27AP8	2.40343282693962
HLA-DQB2	2.39808806724858
PGM1	2.39642127529382
BACE1	2.39518951265978
HLA-V	2.39260716935007
HLA-G	2.39133118942009
NUFIP1P	2.3910543169923
HCP5P2	2.38882755523074
LOC100129514	2.38879084860946
PRUNE	2.38780098435213
LOC646626	2.38752643680574
RPL36AP19	2.38738008500067
WFDC2	2.38674039636526
SCG2	2.38408246249884
BAT2	2.38227163131192
LEKR1	2.38198262203061
GFRA3	2.38126096802093
INSIG2	2.37980340557652
LOC284297	2.37711749194781
BCL10	2.37535413814316
LOC100287098	2.37443088261192
ATP4B	2.37434221462366
MKX	2.37308513926874
BAALC	2.37110973860992
PGAM1	2.37109214272421
ADO	2.35598683442381
LHB	2.35468150607181
HCP5P12	2.35447843920077
FBL	2.35410640190713
FLJ42953	2.35124249880359
RNF214	2.3483977515727
ZBTB39	2.34628489283369
ZSCAN16	2.34307745917589
TBP	2.33558330661156
ATP6V1G2	2.33525973049991
OR2B4P	2.33367773165859
OR2H4P	2.33314632974479
CLCA3P	2.33158813338172
MDC1	2.33134767987219
VNN1	2.32974809133618
LOC100129200	2.32957250004473
NKTR	2.32850453755895
