Interactor_A	Interactor_B	weight
TP53	ELAVL1	0.745423438027501
TP53	HSP90AA1	0.427621283335611
TP53	BLM	0.00131919351406395
TP53	ARID1A	0.337382826954126
TP53	UBD	0.0478608477860689
TP53	HSPA5	0.101691486313939
TP53	SMARCA4	0.299157867208123
TP53	UBE4B	0.204808065202087
TP53	PIN1	0.368663642322645
TP53	SMAD3	0.0787180056795478
TP53	SMAD1	0.681658283341676
TP53	SAFB2	0.153447827091441
TP53	NMT2	0.769305834313855
TP53	PIAS2	0.729902346851304
TP53	YWHAE	0.191609489964321
TP53	CSNK2B	0.249909039353952
TP53	ETS1	0.111671708757058
TP53	NCL	0.747711684787646
TP53	CDK2	0.446415583370253
TP53	XRCC6	0.957323474343866
TP53	PTEN	0.194443512940779
TP53	YWHAG	0.337942102225497
TP53	MAPK3	0.362895592814311
TP53	AURKA	0.191206897841766
TP53	LAMA4	0.429876724025235
TP53	NCOA2	0.0699942738283426
TP53	RAD23A	0.120380146196112
TP53	LYN	0.82197619904764
TP53	PRKCA	0.409647987224162
TP53	MAP3K1	0.118418036494404
TP53	DDX17	0.326165100559592
TP53	TP53RK	0.425712689990178
TP53	TAF9	0.311965285567567
TP53	CFLAR	0.235171525040641
TP53	CAPN1	0.199949890607968
TP53	NCOR1	0.987012210767716
TP53	RPL26	0.282566020963714
TP53	THAP8	0.0195421245880425
TP53	EEF2	0.351783040445298
TP53	NPM1	0.632207636954263
TP53	CSNK2A2	0.429845234844834
TP53	IKBKB	0.0658979115542024
TP53	CDK9	0.0567800195422024
TP53	PHF1	0.842122306814417
TP53	S100A1	0.537217302713543
TP53	TPT1	0.373530331067741
TP53	PSMC3	0.951293209102005
TP53	SUMO2	0.438855287618935
TP53	HMGB1	0.215507596265525
TP53	HDAC4	0.685299853095785
TP53	KPNA4	0.925203076796606
TP53	SUMO1	0.39647918776609
TP53	RPS3	0.676246178336442
TP53	ESR1	0.94830134161748
TP53	SRSF1	0.379463979974389
TP53	UBE2D3	0.806212577270344
TP53	PPP2R1A	0.0904668779112399
TP53	XPO1	0.613451468991116
TP53	CDK8	0.606102564139292
TP53	RAB4A	0.181805447908118
TP53	SUMO3	0.194274536333978
TP53	SNRPN	0.844604000914842
TP53	CHEK1	0.555771591607481
TP53	GAPDH	0.537992477416992
TP53	BHLHE40	0.914005915401503
TP53	VCP	0.397786954650655
TP53	RPA1	0.86070291348733
TP53	TOP1	0.730515040690079
TP53	UBE2M	0.94191978010349
TP53	EIF2AK2	0.0963695063255727
TP53	HNRNPUL1	0.756518160924315
TP53	MDM4	0.931467172689736
TP53	EP300	0.473127273377031
TP53	MAPK14	0.538638591533527
TP53	TFAP4	0.664866019506007
TP53	CDKN1A	0.0939865228720009
TP53	SMURF1	0.792271085549146
TP53	HNRNPK	0.650222819065675
TP53	SMAD7	0.969860266661271
TP53	TRIM27	0.971720913425088
TP53	PNP	0.34791475138627
TP53	COPS5	0.240785223897547
TP53	HDAC5	0.611062861979008
TP53	E2F1	0.909060081467032
TP53	CDK5	0.396723689278588
TP53	NR4A1	0.18645344953984
TP53	G3BP1	0.144341769861057
TP53	MAPK8	0.224450341658667
TP53	CSNK1D	0.751250660512596
TP53	ERCC8	0.335956615163013
TP53	KANSL1	0.564065112732351
TP53	PTTG1	0.338000382995233
TP53	CDC42	0.378977490356192
TP53	ERCC3	0.726611015154049
TP53	UBR5	0.935505176661536
TP53	SREBF1	0.137776634888723
TP53	BRCA1	0.179832516005263
TP53	COPS6	0.414644941454753
TP53	BARD1	0.0199990919791162
TP53	SIN3B	0.635585522279143
TP53	MPDZ	0.858164828270674
TP53	GSK3B	0.0266797828953713
TP53	NFYA	0.918920419411734
TP53	TSG101	0.995943704620004
TP53	ATF3	0.917498973431066
TP53	NFKBIA	0.351235118461773
TP53	HSPA1L	0.691538614686579
TP53	PAN2	0.319870493607596
TP53	MAPK10	0.495513319736347
TP53	SNAI1	0.693719581700861
TP53	HDAC2	0.937619432108477
TP53	GTPBP4	0.653614216949791
TP53	NAP1L1	0.477678863331676
TP53	TK1	0.299984659301117
TP53	PSMD11	0.537611917359754
TP53	AXIN1	0.296421556500718
TP53	DDX5	0.669125406770036
TP53	UBE2D1	0.861983977258205
TP53	TP53BP1	0.852267974987626
TP53	PLK1	0.693792300531641
TP53	BCR	0.825159885454923
TP53	KPNB1	0.183129521552473
TP53	AURKB	0.343957272125408
TP53	EIF2S2	0.791519176214933
TP53	CSNK2A1	0.439170276280493
TP53	CREB1	0.680882092565298
TP53	PPP2CA	0.0837259686086327
TP53	RB1	0.368021483300254
TP53	PARP1	0.19738245732151
TP53	MAPKAPK5	0.485449603293091
TP53	DAPK3	0.328830016776919
TP53	DVL2	0.78758553112857
TP53	NR3C1	0.781609043013304
TP53	ABL1	0.372782717226073
TP53	SRPK1	0.0670182600151747
TP53	PIAS1	0.60948553821072
TP53	CDC25C	0.364527779631317
TP53	SERPINB9	0.105144725181162
TP53	CRYAB	0.0580428512766957
TP53	UBE2K	0.811240950599313
TP53	CCT5	0.164143086411059
TP53	UBE2B	0.250159891089424
TP53	RING1	0.80759272351861
TP53	SP1	0.672442497685552
TP53	PRKRA	0.103047063341364
TP53	CHUK	0.442699571372941
TP53	VDR	0.710999786388129
TP53	RB1CC1	0.270693385973573
TP53	TNFAIP3	0.22882825601846
TP53	EHMT2	0.503700470319018
TP53	TAF1C	0.340048419311643
TP53	SQSTM1	0.0888979609590024
TP53	MDM2	0.129378468729556
TP53	SUPT3H	0.442552851745859
TP53	RCC1	0.9516103095375
TP53	SREBF2	0.851640624692664
TP53	PHB	0.131130144232884
TP53	PSMB3	0.00659745535813272
TP53	SMARCD1	0.858986787265167
TP53	ZNF24	0.472469008993357
TP53	ARL3	0.730648596771061
TP53	MYC	0.863008595071733
TP53	SIVA1	0.156029148027301
TP53	ARIH2	0.315395386191085
TP53	MAPK1	0.497929448029026
TP53	PPP1CC	0.796859814785421
TP53	KPNA2	0.552020486677065
TP53	UBE2N	0.899470374919474
TP53	VHL	0.00281668896786869
TP53	XRCC1	0.84745859936811
TP53	COPS2	0.542597584426403
TP53	BCL2	0.695221951929852
TP53	MNAT1	0.094205409521237
TP53	CCNG1	0.732276738388464
TP53	TOE1	0.418980533024296
TP53	CSE1L	0.660708629759029
TP53	CDK1	0.785975774750113
TP53	HSPA4	0.253194998716936
TP53	HDAC9	0.323035006644204
TP53	PRMT3	0.261516934959218
TP53	TRAPPC11	0.0442748761270195
TP53	PRKCD	0.445972002809867
TP53	RFC1	0.682392713846639
TP53	PSMD4	0.455093818716705
TP53	KDM1A	0.332459794124588
TP53	CTBP1	0.451865979703143
TP53	XPC	0.596911060390994
TP53	UBE3A	0.218261193484068
TP53	PPP2R5C	0.979672633344308
TP53	UBE2D2	0.814747551921755
TP53	BCL2L1	0.454077338334173
TP53	TOP2A	0.571066070115194
TP53	MIF	0.870473992079496
TP53	MTOR	0.503629351966083
TP53	ANG	0.852404844481498
TP53	CCNA2	0.802421123022214
TP53	PRKDC	0.336263329256326
TP53	TOP2B	0.899912927532569
TP53	UCHL1	0.0754831861704588
TP53	SUPT7L	0.805643127299845
TP53	YY1	0.704430188052356
TP53	UIMC1	0.185240739025176
TP53	HSPA8	0.543992456747219
TP53	DNAJB6	0.884646511403844
TP53	STX5	0.483100664336234
TP53	PRKRIR	0.438942982815206
TP53	PPP1CA	0.883502818411216
TP53	TBP	0.584851423511282
TP53	HSP90AB1	0.889212227193639
TP53	HDAC3	0.115387584781274
TP53	GADD45A	0.209004536038265
TP53	TRIM24	0.528762894682586
TP53	CUL4A	0.141586932586506
TP53	ANXA7	0.460787016199902
TP53	THRB	0.0388315196614712
TP53	CHD3	0.244985869387165
TP53	PCNA	0.644091996829957
TP53	TAF1B	0.447178939823061
TP53	YWHAZ	0.298543162178248
TP53	PSMC5	0.933695680461824
TP53	CCL18	0.349405995802954
TP53	PML	0.894317636732012
TP53	PDCD5	0.708053268957883
TP53	RBBP5	0.426637343363836
TP53	DYNC1I1	0.15318950987421
TP53	ACTL6A	0.885906483512372
TP53	HEXIM1	0.94373613060452
TP53	PRDM2	0.1326085224282
TP53	RAD51	0.904968376969919
TP53	MSH2	0.0101929346565157
TP53	AGT	0.669194515561685
TP53	TFAP2C	0.0452270719688386
TP53	KMT2A	0.601932106073946
TP53	FKBP3	0.924537271494046
TP53	SERPINH1	0.978678372455761
TP53	PTK2	0.0897560438606888
TP53	KAT2B	0.215106172021478
TP53	TADA2A	0.327667734818533
TP53	S100B	0.447966916486621
TP53	EP400	0.624519152566791
TP53	MAP1B	0.122953609097749
TP53	TEC	0.588668430689722
TP53	PRKD1	0.334873657673597
TP53	SAFB	0.703586032614112
TP53	RFWD2	0.267633155686781
TP53	RANBP2	0.388991338200867
TP53	HTT	0.767679463839158
TP53	PSMD6	0.317879468435422
TP53	PPP2R2B	0.891227545915172
TP53	HNF4A	0.320750383427367
TP53	BRCA2	0.546338290907443
TP53	ANXA2	0.414288596948609
TP53	TP73	0.817187834763899
TP53	HSPA9	0.22258830582723
TP53	KAT7	0.617788390256464
TP53	RNF2	0.526685329619795
TP53	TAF10	0.354896439006552
TP53	WWOX	0.699391055619344
TP53	IGF1R	0.891769791953266
TP53	MUL1	0.0381272025406361
TP53	CSNK1E	0.790473372442648
TP53	BTRC	0.486107850214466
TP53	ANK2	0.71357524045743
TP53	CHEK2	0.290393734350801
TP53	STUB1	0.130339494440705
TP53	YBX1	0.639406907139346
TP53	CSNK1A1	0.802910534664989
TP53	SULT1E1	0.676491380669177
TP53	TFDP1	0.218497065128759
TP53	FOXO3	0.704314789036289
TP53	CDK7	0.924985594814643
TP53	PRAM1	0.963589587248862
TP53	RPL11	0.217177310260013
TP53	NFYB	0.260221108794212
TP53	GPS1	0.290118011180311
TP53	ETHE1	0.01134027633816
TP53	MEN1	0.0186876018997282
TP53	APTX	0.996294041862711
TP53	ZNHIT1	0.280294023454189
TP53	ERCC2	0.08639722969383
TP53	SKI	0.324828264303505
TP53	STK4	0.0370799535885453
TP53	SP3	0.439226577058434
TP53	MTA2	0.454516698606312
TP53	CUL7	0.960825961548835
TP53	GPS2	0.812766244867817
TP53	BACH1	0.890757867600769
TP53	SMAD2	0.272386603290215
TP53	ZMYND11	0.140114251757041
TP53	RNF20	0.0865288453642279
TP53	DAPK1	0.53655543923378
TP53	CR2	0.269021357409656
TP53	PPP4C	0.0977100492455065
TP53	KAT2A	0.0543496536556631
TP53	STAT6	0.115415099076927
TP53	OTUB1	0.524930073181167
TP53	MAFK	0.166336841881275
TP53	SMARCB1	0.492560708895326
TP53	UBE2I	0.0554090738296509
TP53	GCH1	0.259054407710209
TP53	CREBBP	0.766506580868736
TP53	ZBTB7A	0.228012361098081
TP53	TAF5	0.477514650672674
TP53	TAF6	0.694443449843675
TP53	ERH	0.4701049819123
TP53	EFEMP2	0.82238874444738
TP53	MSX1	0.148624668829143
TP53	NCOA1	0.666548887500539
TP53	SIN3A	0.880326634971425
TP53	HIPK2	0.984842276899144
TP53	CASP8	0.0613132731523365
TP53	RRM2	0.404931687749922
TP53	RPL23	0.972341369837523
TP53	AIMP2	0.701936938799918
TP53	DPH1	0.882754689315334
TP53	RABL6	0.282109637511894
TP53	RRM2B	0.0106841430533677
TP53	SSTR3	0.817461450118572
TP53	SIRT2	0.466606139438227
TP53	ATR	0.288609073730186
TP53	BAG1	0.948545825434849
TP53	CCNH	0.236809381982312
TP53	KAT5	0.96067156130448
TP53	HIF1A	0.850762295303866
TP53	PIAS4	0.482988604111597
TP53	PARK7	0.957048626383767
TP53	RPL5	0.442928789183497
TP53	MED1	0.0135923831257969
TP53	GTF2H1	0.832295132102445
TP53	COPS8	0.193738023750484
TP53	CARM1	0.306028758641332
TP53	NMT1	0.352252643555403
TP53	RYK	0.809017018647864
TP53	PRIM1	0.310999032109976
TP53	MTA1	0.88120903680101
TP53	IFI16	0.734780738363042
TP53	HECW1	0.972928639734164
TP53	NUB1	0.910342036746442
TP53	MUC1	0.16967586404644
TP53	WDR33	0.503158850828186
TP53	ATM	0.581464291084558
TP53	RPS7	0.5135201679077
TP53	ETS2	0.262802768265828
TP53	GPX2	0.0738163213245571
TP53	CLK3	0.210099939256907
TP53	CDKN2C	0.482634741114452
TP53	RPS10	0.989693399285898
TP53	NRD1	0.959819515235722
TP53	NR0B2	0.799500840948895
TP53	MAPK11	0.439705325290561
TP53	BAX	0.84945759922266
TP53	WDR48	0.355397681705654
TP53	PTGS2	0.315601331880316
TP53	HECW2	0.234381821006536
TP53	TXN	0.730436825426295
TP53	TDG	0.166232479503378
TP53	PPIF	0.0186485000886023
TP53	ADH5	0.613057269016281
TP53	CXXC1	0.210585728986189
TP53	MDC1	0.172145363176242
TP53	EPHA3	0.803012105636299
TP53	STK11	0.937310699140653
TP53	GSTM4	0.248654967639595
TP53	HIPK1	0.223328903783113
TP53	PPARGC1A	0.859151932178065
TP53	WRN	0.878242294769734
TP53	MDH1	0.707194278249517
TP53	TP53BP2	0.430859202519059
TP53	NEDD8	0.413807340199128
TP53	TFAP2A	0.79776114365086
TP53	UHRF2	0.994920490775257
TP53	RYBP	0.2313317717053
TP53	EHMT1	0.780022762017325
TP53	RFFL	0.468124074628577
TP53	TXNRD1	0.0684498494956642
TP53	SENP3	0.0990528271067888
TP53	CEBPZ	0.27025235700421
TP53	TTK	0.981490883044899
TP53	USP7	0.383410509675741
TP53	TAF5L	0.653634500456974
TP53	COPS4	0.35406224639155
TP53	NQO2	0.113581757759675
TP53	MED21	0.0423417636193335
TP53	FBXO11	0.594847053522244
TP53	USO1	0.22678458224982
TP53	ERBB4	0.745121830841526
TP53	EGR1	0.17816612450406
TP53	PPP2R2A	0.197445718105882
TP53	UFD1L	0.224456285126507
TP53	BAK1	0.728575312066823
TP53	RNF43	0.982341907918453
TP53	TADA3	0.0361686169635504
TP53	RFWD3	0.156357067171484
TP53	VRK2	0.481203279225156
TP53	ERCC6	0.671120898565277
TP53	ECT2	0.36790956184268
TP53	MAPK9	0.833712241845205
TP53	CDC14B	0.886724780779332
TP53	ELL	0.625817876774818
TP53	DNMT1	0.706060532014817
TP53	PRMT1	0.961770915193483
TP53	APOH	0.400215524481609
TP53	SHISA5	0.103361858287826
TP53	TP63	0.930117949610576
TP53	SIRT1	0.804394295904785
TP53	RIOK2	0.631209124345332
TP53	MAD2L1BP	0.0440179496072233
TP53	ITCH	0.801924000727013
TP53	UBE2J1	0.93788896407932
TP53	AGO1	0.0476495970506221
TP53	TSC22D1	0.248168413992971
TP53	TADA1	0.186230374965817
TP53	BRD7	0.685473651159555
TP53	E4F1	0.91915350407362
TP53	TRIM28	0.46732649859041
TP53	VRK1	0.135590442921966
TP53	RASGRF1	0.422700880328193
TP53	CHD8	0.0654059939552099
TP53	TP53INP1	0.318015319528058
TP53	ZNF148	0.4961902347859
TP53	CCAR1	0.440761232282966
TP53	USP10	0.320698650320992
TP53	KAT6A	0.496575155062601
TP53	NOL3	0.938692986033857
TP53	PLAGL1	0.0940424699801952
TP53	HABP4	0.232221015961841
TP53	BMP1	0.797460371395573
TP53	NUAK1	0.0234111254103482
TP53	MYBBP1A	0.874337137211114
TP53	SCAMP1	0.846431960584596
TP53	GNL3	0.910416670609266
TP53	DUSP26	0.424029892543331
TP53	USP39	0.368553146719933
TP53	ASPM	0.563781537581235
TP53	CCDC106	0.802946338895708
TP53	NUMB	0.105448512127623
TP53	KAT8	0.825190285919234
TP53	ASH2L	0.860101982252672
TP53	ZBTB2	0.902139235520735
TP53	HECTD3	0.653790909098461
TP53	WT1	0.936240937327966
TP53	BRF1	0.561311273369938
TP53	PLK3	0.253820077283308
TP53	ZMIZ1	0.724426112603396
TP53	MSH6	0.716028151102364
TP53	SETD7	0.556731635006145
TP53	BRD8	0.973516131751239
TP53	HINFP	0.577127705095336
TP53	ANXA3	0.0906835931818932
TP53	NPRL3	0.546285557094961
TP53	CUL9	0.616430327296257
TP53	MED17	0.772403368493542
TP53	SAE1	0.933467831695452
TP53	ECD	0.785225005587563
TP53	DAXX	0.190312144346535
TP53	MYL9	0.505728320451453
TP53	FBXO42	0.841569520300254
TP53	NQO1	0.77292702998966
TP53	TAF1A	0.921392597956583
TP53	GFI1	0.455070666270331
TP53	PPA1	0.292798461159691
TP53	TRMT11	0.0467616864480078
TP53	COX17	0.0803938780445606
TP53	KLF6	0.95781981293112
TP53	RAP1B	0.27673242543824
TP53	COPS7A	0.48782320600003
TP53	PTTG1IP	0.172041593352333
TP53	BTBD2	0.893053844105452
TP53	MPHOSPH6	0.694793571718037
TP53	SETD8	0.802853440633044
TP53	ZMIZ2	0.391192438080907
TP53	BRE	0.709016187116504
TP53	PIWIL1	0.790266019292176
TP53	HIPK3	0.9786519727204
TP53	PBK	0.44101947080344
TP53	TRIM39	0.160687409341335
TP53	RCHY1	0.0752850719727576
TP53	MNDA	0.299456391017884
TP53	TXNIP	0.310043624369428
TP53	DHFR	0.246734818676487
TP53	DAB2IP	0.36962473532185
TP53	CABLES2	0.524906699778512
TP53	L3MBTL1	0.901727095246315
TP53	TMED9	0.620695028221235
TP53	FXYD6__FXYD6-FXYD2	0.639227092731744
TP53	DTL	0.403938073897734
TP53	SYVN1	0.0940829822793603
TP53	RNF34	0.771243734983727
TP53	ING2	0.243381089996547
TP53	ZCCHC10	0.980915652355179
TP53	MAP9	0.494359577773139
TP53	PADI4	0.800167723093182
TP53	G3BP2	0.0435647666454315
TP53	CREBZF	0.083936023991555
TP53	SPSB1	0.0778878782875836
TP53	MTHFSD	0.809606390306726
TP53	NOTCH4	0.683890427462757
TP53	GTF2H4	0.102209023898467
TP53	ZHX1	0.63142374297604
TP53	IGF2BP1	0.971783513901755
TP53	PPP1R13L	0.495549625484273
TP53	AGO2	0.791860937140882
TP53	PAGR1	0.457684480585158
TP53	BANP	0.527824111981317
TP53	ING1	0.114271925529465
TP53	ITPK1	0.882449741940945
TP53	SMYD2	0.0829926764126867
TP53	COPS3	0.683198850369081
TP53	TEP1	0.86175403627567
TP53	NCOA3	0.948122028494254
TP53	DMTF1	0.523634171346202
TP53	USP42	0.995147924870253
TP53	TRRAP	0.896566125098616
TP53	KDM4D	0.85041784401983
TP53	AGBL2	0.855596123728901
TP53	DHCR24	0.0457177541684359
TP53	TOPORS	0.254105813102797
TP53	PHF20	0.004924226552248
TP53	RNF38	0.43821430276148
