HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
8179	OR1A1	olfactory receptor family 1 subfamily A member 1	Approved		OR17-7	17p13.3	AF087918	NM_014565	OR1	Olfactory receptors, family 1	147
8180	OR1A2	olfactory receptor family 1 subfamily A member 2	Approved		OR17-6	17p13.3	AF155225	NM_012352	OR1	Olfactory receptors, family 1	147
14750	OR1AA1P	olfactory receptor family 1 subfamily AA member 1 pseudogene	Approved			Xq26.2			OR1	Olfactory receptors, family 1	147
15390	OR1AB1P	olfactory receptor family 1 subfamily AB member 1 pseudogene	Approved			19p13.12	AC008894	NG_004627	OR1	Olfactory receptors, family 1	147
31243	OR1AC1P	olfactory receptor family 1 subfamily AC member 1 pseudogene	Approved			17p13.3			OR1	Olfactory receptors, family 1	147
8181	OR1B1	olfactory receptor family 1 subfamily B member 1 (gene/pseudogene)	Approved		OR9-B	9q33.2	AC006313	NM_001004450	OR1	Olfactory receptors, family 1	147
8182	OR1C1	olfactory receptor family 1 subfamily C member 1	Approved		TPCR27, HSTPCR27	1q44	X89674		OR1	Olfactory receptors, family 1	147
8183	OR1D2	olfactory receptor family 1 subfamily D member 2	Approved	OLFR1	OR17-4	17p13.3	U04678	NM_002548	OR1	Olfactory receptors, family 1	147
8184	OR1D3P	olfactory receptor family 1 subfamily D member 3 pseudogene	Approved	OR1D6P, OR1D7P	OR17-23, OR11-13, OR11-22	17p13.3	U04679		OR1	Olfactory receptors, family 1	147
8185	OR1D4	olfactory receptor family 1 subfamily D member 4 (gene/pseudogene)	Approved		OR17-30	17p13.3	U04681	NM_003552	OR1	Olfactory receptors, family 1	147
8186	OR1D5	olfactory receptor family 1 subfamily D member 5	Approved		OR17-31	17p13.3	AF087923	NM_014566	OR1	Olfactory receptors, family 1	147
8189	OR1E1	olfactory receptor family 1 subfamily E member 1	Approved	OR1E9P, OR1E5, OR1E6	OR17-2, HGM071, OR17-32, OR13-66	17p13.3	U04642	NM_003553	OR1	Olfactory receptors, family 1	147
8190	OR1E2	olfactory receptor family 1 subfamily E member 2	Approved	OR1E4	OR17-93, OR17-135	17p13.2	U04686		OR1	Olfactory receptors, family 1	147
8191	OR1E3	olfactory receptor family 1 subfamily E member 3 (gene/pseudogene)	Approved	OR1E3P	OR17-210	17p13.3	U04690	NG_002151	OR1	Olfactory receptors, family 1	147
8194	OR1F1	olfactory receptor family 1 subfamily F member 1	Approved	OR1F4, OR1F6, OR1F7, OR1F8, OR1F9, OR1F5, OR1F10, OR1F13P	Olfmf, OR16-36, OR16-37, OR16-88, OR16-89, OR16-90, OLFMF, OR3-145	16p13.3	Y14442		OR1	Olfactory receptors, family 1	147
13964	OR1F12	olfactory receptor family 1 subfamily F member 12	Approved	OR1F12P	hs6M1-35P, OR1F12Q	6p22.1			OR1	Olfactory receptors, family 1	147
